time flux error
16 1.1120778187212186 0.10373353240276066
33 0.9348343669836435 0.09543172119815059
50 0.7949050450310682 0.0883281854432136
67 0.9814851583454488 0.09768561211775292
85 1.0934353450067802 0.10289258042054496
93 1.0934391027920298 0.10289293402921762
111 0.9068635554827477 0.09405550159963671
128 0.9628406149146943 0.09679194077717054
22307 1.2158365509854263 0.09444677962909988
22324 1.096327757737431 0.08988914176136667
22341 1.1877241168691055 0.09339497640864498
22350 1.1033654532259347 0.09016424930134581
22367 0.997915492151445 0.08595511296121637
22384 1.2017969441142082 0.09392363923960424
22402 0.9416799960344279 0.08362405799539004
22419 1.0752593467293592 0.08906241919308151
22436 0.9768382027595588 0.08508941581612976
22445 1.0893275123970285 0.0896162731172199
22462 0.9557537644419868 0.08421417661883042
22480 0.8503007591733034 0.07969111869573776
22497 1.0541865260041523 0.08822757830079136
27871 0.879949895340039 0.09961966799127457
27888 0.9122901319975052 0.09461831986813866
27905 0.9686021522890452 0.09737113361104684
27923 1.0249146422386146 0.100048265484305
27940 1.0530728005781445 0.10136050851699217
27957 0.799683659250057 0.08885917505704845
27966 1.0436950680108954 0.10092579512397683
27983 0.9967737225863582 0.09872029284306635
28000 1.053087276941487 0.10136190189791423
28018 1.1563263905308077 0.10603383454083638
28035 1.1000199312655692 0.10351219188112405
28052 0.9123214849570985 0.0946215716454577
28061 1.0437165892593872 0.10092787623864592
28078 0.978023965927799 0.09782604660851735
28096 1.1000350530009326 0.10351361484077053
28113 0.9874159492524847 0.09827589403406112
33461 1.1271412663522435 0.0912000330005315
33470 0.9580162514241781 0.0844135307677804
33487 1.0143960061763189 0.08673512654558216
33504 1.1060115791806648 0.0903804840579874
33521 0.8805078980511732 0.08111419094680486
33582 1.0919362194844824 0.089830884980201
33599 1.0637510628142424 0.08871858670400272
33616 1.0214711679559578 0.0870233312170737
33634 1.0426164850362516 0.08787550162745005
33651 0.9650997063189735 0.08471037912182795
33668 1.0849076378975062 0.08955556824902708
33677 1.13424286736837 0.09147628760841381
33694 1.12719937207481 0.091204734490907
39025 0.9499252373322303 0.09718101183779602
39042 0.8746701217410534 0.09346783919188799
39060 1.0910416935966234 0.10378702940325277
39077 0.7523804045995022 0.08709694412149369
39086 1.0534196146788273 0.10206811255707374
39103 0.846459885818079 0.09203791838584713
39155 0.9123212590096652 0.09534496832352478
39172 1.2415888394082413 0.11040062570509011
39189 1.0628489456489276 0.10250283263192458
39198 0.9499611484086383 0.09718468567927782
39215 0.827664901376738 0.09107347487162841
39232 0.9217446420818203 0.0958096013539777
39250 0.7900397189459006 0.08910932469487456
39267 0.8276734346594627 0.09107441384549152
39284 0.7994529523658336 0.08960517282807363
39302 0.7147853458041502 0.08504457249732349
44598 0.44069585270047634 0.06629318446680649
44607 0.42303757915463147 0.06510670050228644
44624 0.39654925984867223 0.06328513849220982
44641 0.45836030576321196 0.06745971321676246
44658 0.5996416421940339 0.07614684663281981
44676 0.5025135333444403 0.07029026653716662
44693 0.5201753518543949 0.07139114281834102
44702 0.4142162261809674 0.06450648870723198
44719 0.317086478665109 0.057475534020526034
44736 0.3259177051939988 0.05815007392819658
44753 0.4318808310812537 0.06570476790930058
44771 0.334750142843823 0.058817089239620035
44788 0.5201860779978343 0.07139261492122988
44805 0.4230550256119501 0.06510938556226085
44814 0.2906021514536977 0.05540442977579595
44831 0.2111302802007001 0.048661089236895876
44848 0.23762205348140003 0.05100826575072816
44866 0.37007856378740733 0.061412496106374975
44883 0.4407231150325975 0.06629728549657844
44900 0.39565771786276377 0.06378629326408541
50223 0.8794680800144775 0.09696695529168711
50240 0.8289534548863943 0.0942987176223701
50257 0.9097847844305045 0.09853408368342144
50274 0.9198915266312949 0.0990510710435147
50292 1.0007236412500313 0.103091450019609
50309 1.0108307654242619 0.10358573525453159
50318 0.8592787753974235 0.09591042019967712
50335 0.9704227784285884 0.10159630732727765
50352 1.0108411871597904 0.10358680323066989
50369 0.7077306911628285 0.08756537904148386
50387 0.7683561091297529 0.09099600617731683
50404 1.0007477156530442 0.10309393009004265
50421 0.8087770196017684 0.09321342276647288
50430 0.8896113354545924 0.0974962513447515
50447 0.8997183072669218 0.09801874977899092
50464 0.9805534912405609 0.10210029276707981
50482 0.828996188606566 0.0943035788543098
50499 0.9514936916168982 0.10174793583896453
94848 1.0428391018580183 0.07742733444366515
94865 1.0957359229735908 0.07921364340198433
94883 1.0058209266694322 0.07615270639192598
94900 0.7307779610865984 0.06591248700008193
94917 0.9952491338256427 0.07578495776909873
94926 0.9582268294372275 0.07448190898731316
94943 1.0693076785086304 0.07832706059948331
94995 0.9159242823419863 0.07296492629693528
95012 0.8577430527638269 0.07082480053311284
95030 0.8947725725850065 0.07219444226317642
95038 0.8471699512779725 0.07042913828867217
95056 1.0904915535057478 0.07904011661567532
95073 0.9635459608817879 0.07467180145779585
95090 0.921232680086923 0.07315790770701246
95107 1.016448547622003 0.07652288798534124
95125 1.0217415883465806 0.07670575361472971
95142 1.1804339984490408 0.08199523079640217
95151 0.9424039310272952 0.07391987174176198
95168 1.0454843045825823 0.08284925952273059
100464 0.7475395021606844 0.06662576501719991
100481 0.625740906215348 0.061595459466536606
100499 0.7952061586928739 0.06849420311531057
100516 0.7316600099113205 0.06599204335616919
100533 0.6998879324107399 0.0647047878075174
100542 0.7952143573237028 0.06849490929531071
100559 0.9170203481887025 0.07305224177187579
100576 0.8958402479451401 0.07228058731221418
100594 0.8852516224280377 0.07189178109313313
100611 0.9117339324163531 0.0728607817203099
100628 0.7846362448639607 0.06808539760812216
100646 0.7740472118901163 0.06767245248488868
106046 0.8332692936705934 0.06999599925234866
106063 0.944615337711158 0.07409332910230357
106080 1.013545611640059 0.07652003414417403
106097 0.8597882999798458 0.07099367887686472
106115 0.9128124355316766 0.0729469697816251
106132 1.0400667428423311 0.07743383945917341
106149 0.896912279682715 0.07236708385418915
106158 0.9446348159112905 0.07409485692493689
106175 0.9128249837662077 0.072947972567794
106192 1.066592002310342 0.07833729001235402
106210 1.0029689893987939 0.07615386530973159
106227 0.8014873041096846 0.06878319373145772
106244 0.8704194549902761 0.07139076811484976
106262 0.8598178485925981 0.07099611873877613
106270 1.0082850940927641 0.07633927341724221
106288 0.8386145851975514 0.07020013943088019
106305 0.8757337739993273 0.07158837991534071
111636 0.57415753723885 0.05941741124511019
111653 0.7811879172695595 0.0680400378329381
111662 0.8395835110872867 0.07028124788494026
111679 0.6750241528705481 0.06376453729695822
111696 0.6219417023520996 0.06151540819606657
111713 0.595401384397452 0.06035950834156661
111731 0.595403430600321 0.06035971577776405
111748 0.6113310510809647 0.06105622345699623
111765 0.6219502520497614 0.061516253835038254
111774 0.7281237545760076 0.06593855737336948
111791 0.6484974804622514 0.0626514680406707
111808 0.5901050359486412 0.06012686215814702
111826 0.35121909267399076 0.048446858731832694
111843 0.3671462023609306 0.04931185655708524
111860 0.31406089041403 0.04636655593933526
111878 0.5370264128727782 0.05773662794532653
111886 0.5582630423091436 0.058704941076603935
117252 1.0212946527502307 0.07688772490774141
117269 0.9362608894884706 0.07389048822460326
117278 0.9309492382258713 0.07369934940459966
117295 0.9256375504433434 0.07350771194861398
117312 0.7874537801433508 0.06832988415972856
117329 0.8990694626945162 0.0725411354838079
117347 1.106354446458031 0.07977430761560694
117364 0.7715171024115289 0.0677076333509193
117381 0.9043936264279598 0.07273633395478739
117390 1.074475956770961 0.0787056383024071
117407 0.9203448877047449 0.07331708329364331
117424 1.0213332618837379 0.07689063157960936
122850 0.9433639132871879 0.07397389211478102
122868 1.001900623334993 0.07605027484899031
122885 1.0657590013631624 0.0782526127971873
122894 1.033835044740689 0.07715969377341345
122911 0.9167704547111368 0.07301168636908384
122928 1.0178782734574134 0.07660777511819146
122945 1.0178817715773336 0.07660803839445067
122963 1.033849256646775 0.07716075447098517
122980 1.0923876858028845 0.07915369874032013
122997 0.9699998916969841 0.07492703142282686
123006 1.0178957641772344 0.0766090915085356
123023 0.8422928234141407 0.07024613622301439
128527 1.0777080720647823 0.0787090564308449
128544 1.0617286301925737 0.07816651981011916
128561 0.8060007327367555 0.06890264904731101
128579 1.040424892415547 0.0774373807330653
128596 1.0777228870838576 0.07871013842716898
134031 0.9089614987995523 0.09311140433215953
134048 0.989975107460299 0.09694834851032216
134065 0.8909653545908682 0.09223778936294547
134082 0.9449757776636677 0.09483671181967973
134100 0.8819702207372744 0.0917981646036433
134117 0.8459680969021833 0.09001593992680776
134126 1.0169960776715201 0.09819560207624821
134143 0.8909806645014867 0.09223937433177003
134160 0.8729809634659589 0.0913570528310011
139638 1.0108559695723265 0.0765112798261823
139647 0.9627955084205776 0.07481532708794114
139664 1.0589271024990259 0.07817122738714774
139681 0.9200782780976826 0.0732751217387794
139698 1.0642749014003758 0.07835398123213101
139716 0.9040630701799416 0.07268943218777586
139733 1.0589416593401864 0.07817230199005262
145237 1.0601942965821909 0.07826477312470133
145254 0.9372199092428631 0.07394504088269897
145263 1.0388140228697444 0.07753129698970682
145280 0.9265325763027369 0.07355790660900191
145297 1.1618004618185669 0.08166238816785758
907207 0.941359837599138 0.060132389985278145
907224 0.9515652503702626 0.060420401617599935
907233 1.0331863218407413 0.06267543997482829
907250 1.0467929028248828 0.06304362567176351
907267 0.8495520334352822 0.05747820243137415
907285 0.8631580768261267 0.057879418602611414
907302 0.9889902955364859 0.061465188062241105
907319 1.087616944619712 0.06413573757518776
907328 0.9005759271064656 0.05896878186456107
907345 0.9924013447318538 0.061559833670344045
907362 1.053619814164341 0.06322832192953523
907380 1.0400200308626601 0.0628616383952247
907397 0.9584028990509292 0.06061379112146965
907414 1.0094192844056362 0.06202859024521773
907432 1.135255465287325 0.06538742208496634
907440 1.0774441787998392 0.06386642820390284
907457 1.1080559922998507 0.06467646067801903
907475 1.0536451610902886 0.06322984301292052
907492 1.0026348139130992 0.06184291697999963
907509 0.9652278943736193 0.06080577584243877
907527 1.1998970184020838 0.06704815370268506
907544 0.9414277780985222 0.06013672990338553
907552 1.009450506276716 0.06203050882224298
907570 1.138691595605034 0.06547782895502127
907587 0.8972245200581991 0.05887387442751906
907604 0.9856538358739065 0.06137503574686756
907622 1.009464382973842 0.06203136154219124
907639 0.9244419752688198 0.05965518089289628
907656 0.9992681970680138 0.061751454128385716
907665 1.0808970061573884 0.06395999399163452
907682 0.8768365323361259 0.058282693928275786
907699 1.213546618932701 0.06739484073097883
907717 0.9686721400329572 0.06090352678452621
907734 0.9346643371406645 0.0599465589726042
907751 1.0469044307700246 0.06305034249799196
907760 0.9550776007995099 0.060523098729004896
907777 0.9040637590506366 0.05907244893284082
907794 0.934677185768547 0.059947383044945964
907812 0.8972676896279299 0.058876707118524045
907829 0.9993059735110081 0.061753788587036104
907846 1.0571295633084843 0.06332624850228691
907864 0.9210853275379504 0.05956101385497389
907872 0.9585017156412486 0.06062004073545859
907889 1.0367331617650801 0.06277648140627796
907907 1.1455762017243023 0.06565898522846987
907924 1.084357716226401 0.0640538799434902
907941 0.9381073809329521 0.060045646079201036
907959 0.9721232734372345 0.06100155775214655
907976 1.0299484593162986 0.06259300464884925
907984 0.944919693232045 0.060238622307498324
908002 0.9177124853305338 0.059465664627438304
908019 0.849689267213252 0.05748748726686407
908036 0.9687387224923759 0.060907713037472895
908054 0.9925514206328778 0.06156914305666643
908071 0.8939156502024534 0.05878161717186829
908088 1.115007295853128 0.0648637374008508
908097 0.9313369169735203 0.05985472756010082
908114 0.9313401176786602 0.059854933261529235
908131 1.0333851814443111 0.0626875032521709
908149 1.1354310464013784 0.06539753504787717
908166 0.9959766473833629 0.061664503563975764
908183 1.0776145220942699 0.06387652544884401
908192 0.9619690711650027 0.060719558613369966
908209 0.9823811802897194 0.06128873632965364
1209875 0.9053178719705436 0.06903033690824345
1209892 1.0365885720222618 0.07260867689058223
1209909 1.0752004441134433 0.0736282202259908
1209927 1.0481782295831856 0.07291645634664382
1209944 0.8590000803793398 0.06772328703693466
1209961 0.9207769115975036 0.06946204730016504
1209970 0.9941367662949985 0.07147188968761514
1209987 0.9941401828230018 0.07147213531348962
1210004 0.9053427625584084 0.06903223481142126
1210022 1.0366170717346066 0.07261067317576321
1210039 1.0945346909898432 0.07413465615587898
1210056 1.075233700630502 0.07363049758569182
1210073 0.9555476291053313 0.07042280204319291
1210117 0.8320055298899846 0.06695102010497266
1210134 0.913089687289031 0.06924973158994388
1210151 0.9323978687763089 0.06978607154347012
1210168 0.9864556788711921 0.07126595751037719
1210186 1.1331790043908285 0.07513564027651594
1210194 1.1447661081795513 0.07543293271563449
1232728 0.9169654975002153 0.06902356619082688
1232745 1.1601031455805744 0.07541849020317971
1232762 0.7802080820594962 0.06515178045629359
1232771 0.9929549905754015 0.07108445651160095
1232788 1.0765368081926645 0.07328403601425848
1232805 0.9359763677637368 0.06954552508422725
1271167 0.98007947486932 0.06822134896405295
1271184 0.944875123989546 0.06720455641664451
1271201 1.027030141983018 0.06955473332896889
1271219 0.9253215801313782 0.06663329720801453
1271236 0.9761809266984324 0.06811003354041731
1271253 0.8705595103877564 0.06500616297072644
1271262 1.0622525844331099 0.07053885647982307
1271279 0.8940378087742002 0.06570908676582286
1271296 0.9840184958229079 0.06833529392218
1271314 0.8823077427796818 0.06535924239909488
1271331 0.9096954334768246 0.06617394881122278
1293458 0.44627192242581304 0.05081520499684589
1293475 0.6703261312196955 0.05884638710105696
1293493 1.0398201487431495 0.07010923204800677
1293501 0.8472156424204355 0.06448441505834016
1293519 0.906180409331488 0.06625733668247613
1293536 0.9887303721657693 0.06866251079481119
1293553 0.9415640267122835 0.06729901261578401
1293570 0.8000573291889815 0.06303124076248902
1293588 0.9690863260273402 0.0680983110573319
1293605 1.09880797795301 0.07174479612629613
1293614 0.886544774098759 0.06567311152163444
1299022 0.2264213867415947 0.04148564252499974
1299040 0.30906665931137683 0.0452362018796482
1299057 0.3602287877261443 0.04740960447141498
1299074 0.5688104240798992 0.05539449533640844
1299091 0.8246194684031711 0.06383805859079274
1299109 1.080430216709454 0.07128856628439713
1299117 1.0292722145251347 0.06986233683688974
1299135 0.8324990471574351 0.06408087907768156
1299152 0.8010174925065489 0.06310688569821163
1299376 0.05472059502214162 0.03242423952929127
1299394 0.054720783079209426 0.032424350960963556
1299411 0.046678321999224774 0.031921837124208936
1299428 0.07482784774697915 0.0336483105587899
1299437 0.054721347254290634 0.03242468525827816
1299454 0.03059334253259501 0.03089238072198639
1299472 0.09091413183864754 0.03459650405131516
1315792 0.7051446427590912 0.06017522426391735
1315810 0.7367442669306071 0.06120359861078146
1315827 0.8157400996340756 0.06370167513257723
1315844 0.8117932190116736 0.06357933087718275
1315853 0.7446512580798432 0.06145858633247241
1315870 0.7683520299704846 0.06221563351713593
1348884 0.3384736650111513 0.050568325626534086
1348901 0.39131070774772186 0.05264896660497065
1348918 0.4807269315030503 0.05599413252646664
1348936 0.6636233288600443 0.062279279563145815
1348944 0.4807302357161154 0.05599451739474037
1348961 0.5010536719664413 0.05672744220655534
1348979 0.5335703822307303 0.057880718294236834
1348996 0.5051214896832084 0.056873244929168724
1349013 0.48886567458922303 0.056289529185717634
1349031 0.5742199555052965 0.059291155976661486
1349048 0.5742219289144137 0.05929135974127581
1349056 0.7286726135462933 0.06436797870786509
1349074 0.5904837051385801 0.05984640922947079
1349091 0.5417121335282595 0.05816681727442382
1349108 0.5254560540868294 0.0575961959885658
1349126 0.48074840929393814 0.05599663421753186
1365619 0.903263646433055 0.06868466021132842
1365637 1.0987157853878928 0.07403797239395012
1365654 0.8915428736121503 0.06835061456307874
1365671 0.8954549264005148 0.06846253786359645
1365680 1.1339082988884657 0.07496171190138629
1365697 0.9384604191833703 0.06967976760068789
1365714 0.9703401805021514 0.07091347534025937
1382407 1.0281414496230261 0.07231063678146364
1382424 0.8633748710563577 0.06769383095073761
1382433 1.0673796671174058 0.07336762236862653
1382450 1.0556139607517205 0.0730525319222921
1382467 0.9143846079149284 0.06915657845628861
1382485 0.9575423836930179 0.07037021718256313
1382502 1.0517016420501486 0.07294786108070468
1382519 0.8947781228694932 0.0685986466897988
1382528 1.012476911126579 0.07188567777099855
1382545 1.0909445796507624 0.07399605503317169
1382562 0.9144034627499918 0.06915800448191181
1382580 0.9065601213805022 0.06893532596385227
1382597 0.9457956806458352 0.07004305856197743
1382614 1.0164176055674574 0.0719938846227879
1382632 1.0399607377408704 0.07263268981480046
1382640 1.0321177752670339 0.07242070794351238
1382657 1.067431023628445 0.07337115242004513
1382675 1.1027445146981967 0.074309452019005
1382692 0.9458151831849291 0.07004450286703803
1382709 1.0831353176139975 0.07379029091922475
1382727 0.922281559654185 0.06938259229751323
1382744 0.9850586470563014 0.07113552010451803
1382752 0.9693684713674828 0.07070166333997939
1387954 1.0411515623728373 0.07271585910473478
1387971 1.0175884659495709 0.07207681784511458
