obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound,factor,factor_lowbound,factor_upbound
000_ep_fxt_11900137601_AB,60749.40058460309,0.0011509274991112761,60749.39943367559,60749.40173553059,tbabs*po,113.14492797851562,135.14492797851562,166.60286442649402,137.40133823492587,0.9588553218518273,118.0,198.8802947998047,5.111511707305908,0.16034992039203644,1.2599732875823975,1.1851301193237305,1.3368499279022217,-9.331369400024414,-9.348468780517578,-9.31440544128418,1.4164602756500244,1.3415776491165161,1.4923944473266602,0.05364348366856575,0.048985641449689865,0.058800652623176575,1.0042082071304321,0.9618375897407532,1.0484874248504639
001_ep_fxt_11900137601_AB,60749.41629731108,0.0017488000230514444,60749.41454851106,60749.4180461111,tbabs*po,126.36705017089844,148.36705017089844,180.56684070762768,150.46228826613654,0.9950161430779405,127.0,302.19268798828125,4.1809892654418945,0.1176493763923645,1.4175806045532227,1.341485619544983,1.495598554611206,-9.36195182800293,-9.3773193359375,-9.346702575683594,1.2893723249435425,1.2232587337493896,1.3563190698623657,0.04259483888745308,0.039143119007349014,0.04639134928584099,0.9529834985733032,0.9163085222244263,0.9911434650421143
002_ep_fxt_11900137601_AB,60749.41994425925,0.0013194444436521735,60749.41862481481,60749.4212637037,tbabs*po,116.66525268554688,138.66525268554688,167.85881653727964,141.50396236296623,1.2411197094207114,94.0,228.0,1.1572306156158447,0.07126349955797195,3.224634885787964,2.792983055114746,3.6833627223968506,-9.574339866638184,-9.60655403137207,-9.542614936828613,0.6763878464698792,0.5059808492660522,0.8514779210090637,0.010674286633729935,0.008108583278954029,0.014082917012274265,0.9936379194259644,0.9134193658828735,1.081115484237671
003_ep_fxt_11900137602_AB,60749.48633314815,0.0017361111094942316,60749.48459703704,60749.488069259256,tbabs*po,126.32300567626953,148.32300567626953,180.60221894070713,150.40174583374986,0.9868984818458557,128.0,300.0,3.954970598220825,0.11484289914369583,1.3390288352966309,1.2649848461151123,1.4149754047393799,-9.406631469726562,-9.422444343566895,-9.390932083129883,1.321354866027832,1.2538301944732666,1.3897548913955688,0.04004963859915733,0.036782581359148026,0.043639879673719406,1.0213037729263306,0.9814834594726562,1.0627796649932861
004_ep_fxt_11900137602_AB,60749.469000282756,0.0028652727960434277,60749.46613500996,60749.471865555555,tbabs*po,157.8671417236328,179.8671417236328,213.4858455824642,181.6878313788052,1.081281792627622,146.0,495.1191101074219,4.316321849822998,0.09338866919279099,1.234598994255066,1.1809641122817993,1.2893494367599487,-9.36789608001709,-9.379859924316406,-9.35597038269043,1.226427435874939,1.177638292312622,1.276178002357483,0.038669053465127945,0.036325909197330475,0.04118161275982857,1.0284056663513184,0.9984025359153748,1.0593323707580566
005_ep_fxt_11900143617_AB,60753.46319903627,0.010446347809192957,60753.45275268846,60753.47364538408,tbabs*po,226.4490203857422,248.4490203857422,283.81331371944106,249.9839041066724,1.3089538750620935,173.0,1805.1290283203125,4.44043493270874,0.0496080182492733,1.229840636253357,1.2034151554107666,1.25678288936615,-9.398054122924805,-9.40412712097168,-9.391998291015625,1.4017056226730347,1.375438928604126,1.4282411336898804,0.04518380016088486,0.04375028982758522,0.04666874557733536,0.9781569242477417,0.9631253480911255,0.9934261441230774
006_ep_fxt_11900143617_AB,60753.48357167728,0.00449758198010386,60753.4790740953,60753.48806925926,tbabs*po,179.7781982421875,201.7781982421875,235.94359845509388,203.50368843826593,1.1673908976765421,154.0,777.1821899414062,4.453917503356934,0.07571875303983688,1.290932297706604,1.2492295503616333,1.3332901000976562,-9.392911911010742,-9.402104377746582,-9.383774757385254,1.4425561428070068,1.4019509553909302,1.483805775642395,0.04805167764425278,0.04571060091257095,0.05052727088332176,0.9813733696937561,0.9585214853286743,1.0047781467437744
007_ep_fxt_11900182145_AB,60780.22475907407,0.005208333332120674,60780.21955074074,60780.2299674074,tbabs*po,118.09264373779297,140.09264373779297,170.66300216201978,142.55993345741913,1.0934504049795646,108.0,900.0,0.47741833329200745,0.023040493950247765,5.25774621963501,4.800670146942139,5.735289096832275,-9.862410545349121,-9.887883186340332,-9.836898803710938,0.9168736338615417,0.7717018127441406,1.0652320384979248,0.007978350855410099,0.006280433852225542,0.010175359435379505,1.0117448568344116,0.9475141763687134,1.0804717540740967
008_ep_fxt_11900182145_AB,60780.21569748619,0.003853254547721008,60780.21184423164,60780.21955074074,tbabs*po,148.9156494140625,170.9156494140625,202.0271005243878,173.2519325999032,1.3062776264391447,114.0,665.8424072265625,1.0972691774368286,0.04060572385787964,1.981810212135315,1.8395709991455078,2.129930257797241,-9.82138729095459,-9.841290473937988,-9.801782608032227,1.1425707340240479,1.0508602857589722,1.2360621690750122,0.012142120860517025,0.01068148110061884,0.013833521865308285,0.9839881062507629,0.9349942803382874,1.035602331161499
009_ep_fxt_11900183553_AB,60781.33930700457,0.009873365797830047,60781.32943363877,60781.349180370366,tbabs*po,191.14352416992188,213.14352416992188,247.30892438282825,214.8690143660003,1.241191715389103,154.0,1706.1180419921875,1.772765874862671,0.03224225714802742,1.2405304908752441,1.1965664625167847,1.2852500677108765,-9.777813911437988,-9.78774356842041,-9.767925262451172,1.3279787302017212,1.286218523979187,1.3704367876052856,0.017182769253849983,0.01630626805126667,0.018112199380993843,1.0329197645187378,1.0075393915176392,1.0589549541473389
010_ep_fxt_11900183554_AB,60781.40273876258,0.006626792976021534,60781.3961119696,60781.409365555555,tbabs*po,141.9185028076172,163.9185028076172,197.53720666644858,165.7391924627896,0.9720445397781999,146.0,1145.1099853515625,1.8120412826538086,0.03978931903839111,1.182386040687561,1.1307169198989868,1.2350611686706543,-9.759092330932617,-9.771296501159668,-9.74691390991211,1.24144446849823,1.192008376121521,1.2918157577514648,0.016027331352233887,0.015059327706694603,0.017064357176423073,1.0160155296325684,0.9858377575874329,1.0471365451812744
011_ep_fxt_11900186243_AB,60783.409365555555,0.001157407408754807,60783.40820814815,60783.410522962964,tbabs*po,60.0126838684082,82.0126838684082,107.50505311730761,86.2031600588844,0.9376981854438782,64.0,200.0,0.5745797157287598,0.053619034588336945,1.79712975025177,1.3354825973510742,2.304551124572754,-9.798307418823242,-9.857002258300781,-9.739191055297852,0.03051660768687725,-0.20164331793785095,0.2709994912147522,0.002106119878590107,0.001476836041547358,0.0030361327808350325,0.9281752705574036,0.8169348835945129,1.055211067199707
012_ep_fxt_11900186243_AB,60783.40214261584,0.006065532306820387,60783.39607708353,60783.40820814815,tbabs*po,125.13184356689453,147.13184356689453,179.95151640568622,149.10199282062587,0.9269025449399595,135.0,1048.1240234375,1.3979923725128174,0.03653039410710335,1.3134946823120117,1.241133213043213,1.387602686882019,-9.811949729919434,-9.82669448852539,-9.797220230102539,1.1131737232208252,1.0521639585494995,1.174866795539856,0.011911026202142239,0.011000127531588078,0.01290525309741497,0.9261692762374878,0.8928616642951965,0.960729718208313
013_ep_fxt_11900187649_AB,60784.40589333333,0.00925925925912452,60784.39663407407,60784.41515259259,tbabs*po,165.18478393554688,187.18478393554688,220.87332929884352,188.99300311362907,1.1237060131669856,147.0,1600.0,1.701691746711731,0.03261997178196907,1.2779666185379028,1.2304120063781738,1.3263366222381592,-9.78767204284668,-9.798161506652832,-9.777226448059082,1.3279091119766235,1.2830567359924316,1.3733396530151367,0.016795659437775612,0.01588120311498642,0.017768802121281624,0.9765074253082275,0.9509020447731018,1.0028122663497925
014_ep_fxt_11900187650_AB,60784.47070814815,0.006944444445252884,60784.4637637037,60784.47765259259,tbabs*po,131.04586791992188,153.04586791992188,186.30855364923093,154.93158220563615,0.9294033185810062,141.0,1200.0,1.6466785669326782,0.03705289214849472,1.2268627882003784,1.1725497245788574,1.2822222709655762,-9.786940574645996,-9.799419403076172,-9.774476051330566,1.2244062423706055,1.1736952066421509,1.2756034135818481,0.0146942138671875,0.013782321475446224,0.01567348837852478,1.011797547340393,0.9810008406639099,1.043582558631897
015_ep_fxt_11900189697_AB,60786.54933530731,0.008025307313801022,60786.54131,60786.55736061463,tbabs*po,116.70547485351562,138.70547485351562,169.72857207517103,141.0626177106585,1.03279181286297,113.0,1386.77294921875,0.30684277415275574,0.014883309602737427,5.47520637512207,4.958536148071289,6.018679141998291,-10.019338607788086,-10.04452133178711,-9.994455337524414,0.69803386926651,0.551055908203125,0.8485318422317505,0.003959521651268005,0.0030898083932697773,0.00509902648627758,0.9071510434150696,0.8479037880897522,0.9706212282180786
